zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Africa/Abidjan,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Accra,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Addis_Ababa,10800,UTC+03:00,EAT,East Africa Time
Africa/Algiers,3600,UTC+01:00,CET,Central European Time
Africa/Asmara,10800,UTC+03:00,EAT,East Africa Time
Africa/Bamako,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Bangui,3600,UTC+01:00,WAT,West Africa Time
Africa/Banjul,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Bissau,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Blantyre,7200,UTC+02:00,CAT,Central Africa Time
Africa/Brazzaville,3600,UTC+01:00,WAT,West Africa Time
Africa/Bujumbura,7200,UTC+02:00,CAT,Central Africa Time
Africa/Cairo,7200,UTC+02:00,EET,Eastern European Time
Africa/Casablanca,3600,UTC+01:00,WEST,Western European Summer Time
Africa/Ceuta,3600,UTC+01:00,CET,Central European Time
Africa/Conakry,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Dakar,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Dar_es_Salaam,10800,UTC+03:00,EAT,East Africa Time
Africa/Djibouti,10800,UTC+03:00,EAT,East Africa Time
Africa/Douala,3600,UTC+01:00,WAT,West Africa Time
Africa/El_Aaiun,3600,UTC+01:00,WEST,Western European Summer Time
Africa/Freetown,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Gaborone,7200,UTC+02:00,CAT,Central Africa Time
Africa/Harare,7200,UTC+02:00,CAT,Central Africa Time
Africa/Johannesburg,7200,UTC+02:00,SAST,South African Standard Time
Africa/Juba,10800,UTC+03:00,EAT,East Africa Time
Africa/Kampala,10800,UTC+03:00,EAT,East Africa Time
Africa/Khartoum,7200,UTC+02:00,EAT,Eastern African Time
Africa/Kigali,7200,UTC+02:00,CAT,Central Africa Time
Africa/Kinshasa,3600,UTC+01:00,WAT,West Africa Time
Africa/Lagos,3600,UTC+01:00,WAT,West Africa Time
